"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","discriminant_score","tri_score","orth_score","other_score","blank_score","totaltime_m"
"083AY","SGC4A","113","wi22sona","2218","38729","sona","asynch","TRUE","To look at 12 pm on the X axis and see if the letter connects on the left side. Or to look at the right line connected to 12 pm ","I tried my best on most questions",3,3,2,"",21,"U.S. ","X-Other","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1440,732,"Mac OS","2022-03-05T03:01:44.041Z","success","winter22",1,10,8,13,2,0,0,12.2249833333333
"94K5U","SGC4A","114","wi22sona","2218","37321","sona","asynch","TRUE","look at any number that lies on the x axis","I tried my best on most questions",4,3,4,"I liked it though it was kinda confusing and difficult but it was the perfect amount of time",23,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-01T17:52:19.361Z","success","winter22",1,0,-9.16666666666667,1,12,2,1,8.45308333333333
"RC56M","SGC4A","113","wi22sona","2217","41000","sona","asynch","TRUE","Look at 12 PM, then look at the points directly above it. ","I tried my best on each question",5,1,3,"",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1680,939,"Mac OS","2022-03-09T10:27:45.484Z","success","winter22",1,2,-6.16666666666667,2,11,1,0,11.4406333333333
"0PWK1","SGC4A","114","wi22sona","2218","38922","sona","asynch","TRUE","Look at dot","I tried my best on each question",1,3,3,"",20,"usa","English","Second","Math or Computer Sciences","Female","","chrome",1387,932,"Windows 10","2022-03-02T06:44:39.759Z","success","winter22",1,2,-3.25,3,6,8,0,18.18505
"7LZSC","SGC4A","113","wi22sona","2218","43214","sona","asynch","TRUE","The points on the graph describes the midpoint of the shift. For example, shift F has a midpoint of 12pm, and a duration of 4 hours. The left leg of triangle formed by shift F is the start time, and the right leg of this triangle is the end time. So, the shifts that start at 12pm will have 12pm as the left leg of their respective triangles. Such events are shifts M and L. (this took me a little while to understand LOL)","I tried my best on each question",4,3,5,"The graph was in a very interesting format. I did not understand how to read the data plotted by this unique graph until about 1/3 through.",22,"United States","English","Fourth","Math or Computer Sciences","Male","","chrome",1920,969,"Windows 10","2022-03-04T05:50:32.515Z","success","winter22",3,5,5.33333333333333,11,2,4,0,29.3514
"CWH23","SGC4A","115","wi22sona","2217","27681","sona","asynch","TRUE","find which points' x coordinate is at 12pm","I tried my best on each question",4,3,3,"",21,"China","Mandarin","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1368,769,"Windows 10","2022-03-09T19:51:07.240Z","success","winter22",1,0,-11,1,15,0,0,8.48933333333333
"4B6X2","SGC4A","113","wi22sona","2217","40153","sona","asynch","TRUE","See which dots line up on the 12pm axis, those are the ones that start at 12pm.","I tried my best on most questions",3,3,4,"Sometimes the task felt really dull and not too engaging.",18,"USA","English","First","Math or Computer Sciences","Male","NA","chrome",1920,975,"Windows 10","2022-03-09T08:38:10.280Z","success","winter22",2,0,-7.66666666666667,2,10,2,0,15.7682
"FPRRA","SGC4A","114","wi22sona","2218","40268","sona","asynch","TRUE","By looking for the dots that are above 12pm on the x-axis","I tried my best on most questions",3,3,3,"",18,"United States","Cantonese","First","Social Sciences (incl. CogSci)","Female","","chrome",1536,754,"Windows 10","2022-03-05T05:07:48.941Z","success","winter22",1.5,0,-6.58333333333333,1,9,7,1,14.9122
"8AUHN","SGC4A","114","wi22sona","2218","36974","sona","asynch","TRUE","By looking at the graph, move up vertically from where twelve starts.","I tried my best on each question",2,2,5,"",19,"US","English","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-02-28T20:09:55.807Z","success","winter22",1,0,-12,0,15,0,0,11.99475
"O6GWD","SGC4A","115","wi22sona","2218","30067","sona","asynch","TRUE","Look for the dots that are in the same column as 12pm","I tried my best on each question",3,4,3,"",22,"China","Mandarin","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1920,961,"Windows 10","2022-02-28T03:29:08.857Z","success","winter22",2,0,-12,0,15,0,0,5.94166666666667
"P9X0D","SGC4A","115","wi22sona","2218","32434","sona","asynch","TRUE","Find '12pm' on x axis, and then track straight upwards.","I tried my best on most questions",3,4,2,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1180,740,"Mac OS","2022-03-03T22:13:40.899Z","success","winter22",3,0,-12,0,15,0,0,14.8737
"FL59D","SGC4A","115","wi22sona","2218","36158","sona","asynch","TRUE","look for points (12,y)","I tried my best on each question",3,3,3,"",21,"Poland","X-Other","Second","Social Sciences (incl. CogSci)","Female","","chrome",1429,897,"Windows 10","2022-03-06T02:40:25.352Z","success","winter22",1,1,-10,1,14,0,0,11.3132666666667
"YNU5W","SGC4A","115","wi22sona","2218","35267","sona","asynch","TRUE","look at the 12pm mark on the x-axis, and go up that line to find which events start at 12pm - F and B.","I tried my best on most questions",2,4,2,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,700,"Mac OS","2022-03-08T05:40:20.148Z","success","winter22",1,0,-10.6666666666667,0,13,2,0,12.33285
"2Q0L8","SGC4A","115","wi22sona","2218","43215","sona","asynch","TRUE","look directly above the 12PM marker on the x-axis","I tried my best on most questions",3,3,2,"",18,"USA","English","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1440,789,"Mac OS","2022-03-07T21:22:51.900Z","success","winter22",1,1,-5.08333333333333,1,8,0,4,6.2114
"Z8FS2","SGC4A","114","wi22sona","2218","31950","sona","asynch","TRUE","By looking at the x-axis where 12 PM is","I tried my best on each question",3,5,3,"",21,"Myanmar","X-Other","Third","Social Sciences (incl. CogSci)","Male","Nope","chrome",1920,969,"Windows 10","2022-02-28T00:09:30.867Z","success","winter22",1,0,-11,0,14,0,1,8.45286666666667
"E6XLL","SGC4A","115","wi22sona","2218","34335","sona","asynch","TRUE","Anything that calls within the line within 12pm","I tried my best on each question",3,2,2,"",21,"United States","Spanish","Third","Humanities","Female","no","chrome",1440,698,"Mac OS","2022-02-28T22:36:32.595Z","success","winter22",2,0,-4.33333333333333,0,5,9,1,21.5142666666667
"G1HAT","SGC4A","115","wi22sona","2218","42857","sona","asynch","TRUE","look for 12pm on the x-axis and then look which points on the graph line up with it","I tried my best on each question",2,3,2,"",18,"United States","English","First","Humanities","Female","no ","chrome",1440,693,"Mac OS","2022-03-04T06:53:51.360Z","success","winter22",2,0,-11.5833333333333,0,14,1,0,9.55585
